typeID,groupID,typeName,description,mass,volume,capacity,portionSize,raceID,basePrice,marketGroupID,iconID,graphicID
11399,18,Morphite,"Morphite is a highly unorthodox mineral that can only be found in the hard-to-get Mercoxit ore. It is hard to use Morphite as a basic building material, but when it is joined with existing structures it can enhance the performance and durability manifold. This astounding quality makes this the material responsible for ushering in a new age in technology breakthroughs.

May be obtained by reprocessing the following ores:

<color='0xFFFF0000'>0.0</color> security status solar system or lower:
<a href=showinfo:11396>Mercoxit</a>, <a href=showinfo:17869>Magma Mercoxit</a>, <a href=showinfo:17870>Vitreous Mercoxit</a>",0,0.01,0,1,None,32768,1857,2103,0
582,25,Bantam,"In YC114 each major empire faction, having been embroiled in a harrowing, extensive, long-term war, recognized the growing need for support and logistics functionality in their vessels during the kind of protracted interstellar warfare that might otherwise prove exhausting for its participants. In the Caldari State, this led to the redesign and redeployment of the Bantam.

The Bantam, a strong and sturdy craft, was originally an extremely effective mining frigate. After its redesign, the Bantam's large structure had to give way for logistics systems that ate up some of its interior room but allowed it to focus extensively on shield support for fellow vessels.",1480000,20000,270,1,1,None,61,None,38
583,25,Condor,The Condor is fast and agile. It has limited cargo space so it's not very suitable for trading or mining. It is best used as an assault vessel in a hit-and-run type of operations.,1100000,18000,130,1,1,None,61,None,39
584,25,Griffin,"The Griffin is much used by the Caldari Navy as a support vessel in combat squadrons, using its impressive array of electronic gadgetry to disrupt the operation of target ships, making them easy prey for traditional combat vessels.",1056000,19400,260,1,1,None,61,None,40
585,25,Slasher,"The Slasher is cheap, but versatile. It's been manufactured en masse, making it one of the most common vessels in Minmatar space. The Slasher is extremely fast, with decent armaments, and is popular amongst budding pirates and smugglers.",1075000,17400,120,1,2,None,64,None,44
586,25,Probe,"The Probe is large compared to most Minmatar frigates and is considered a good scout and cargo-runner.  Uncharacteristically for a Minmatar ship, its hard outer coating makes it difficult to destroy, while the limited weapon hardpoints force it to rely on drone assistance if engaged in combat.",1123000,19500,400,1,2,None,64,None,45
587,25,Rifter,"The Rifter is a very powerful combat frigate and can easily tackle the best frigates out there. It has gone through many radical design phases since its inauguration during the Minmatar Rebellion. The Rifter has a wide variety of offensive capabilities, making it an unpredictable and deadly adversary.",1067000,27289,140,1,2,None,64,None,46
589,25,Executioner,"The Executioner is another newly commissioned ship of the Amarr Imperial Navy. The Executioner was designed specially to counter the small, fast raider frigates of the Minmatar Republic; thus it is different from most Amarr ships in favoring speed over defenses. With the Executioner, the Amarrians have expanded their tactical capabilities on the battlefield.",1090000,28100,115,1,4,None,72,None,54
590,25,Inquisitor,"In YC114 each major empire faction, having been embroiled in a harrowing, extensive, long-term war, recognized the growing need for support and logistics functionality in their vessels during the kind of protracted interstellar warfare that might otherwise prove exhausting for its participants. In the Amarr Empire, this led to the redesign and redeployment of the Inquisitor.

The Inquisitor was originally an example of how the Amarr Imperial Navy modeled their design to counter specific tactics employed by the other empires. After its redesign, it was exclusively devoted to the role of a support frigate, and its formerly renowned missile capabilities gave way to a focus on remote armor repair.
",1630000,28700,250,1,4,None,72,None,55
591,25,Tormentor,"The Tormentor has been in service for many decades. For most of that time it saw service as a mining ship, its size barring it from making any kind of impact on the battlefield. As with most Amarr ships, however, its strong defenses always made it a tough opponent to crack, and with recent advances in turret capacitor use and damage output, its lasers have now stopped digging into dead ore and are instead focused on boring through the hulls of hapless vessels in combat.",1080000,24398,130,1,4,None,72,None,56
592,25,Navitas,"In YC114 each major empire faction, having been embroiled in a harrowing, extensive, long-term war, recognized the growing need for support and logistics functionality in their vessels during the kind of protracted interstellar warfare that might otherwise prove exhausting for its participants. In the Gallente Federation, this led to the redesign and redeployment of the Navitas.

The Navitas had been a solid mining vessel that had seen wide use by independent excavators, along with being one of the best ships available for budding traders and even for much-maligned scavengers. After its redesign, its long-range scanners and sturdy outer shell gave way entirely for remote repairing capabilities, moving the Navitas away from the calming buzz of mining lasers and into the roar of battle.",1450000,10000,280,1,8,None,77,None,59
593,25,Tristan,"Often nicknamed The Fat Man this nimble little frigate is mainly used by the Federation in escort duties or on short-range patrols. The Tristan has been very popular throughout Gallente space for years because of its versatility. It is rather expensive, but buyers will definitely get their money's worth, as the Tristan is one of the more powerful frigates available on the market.",956000,26500,140,1,8,None,77,None,60
594,25,Incursus,"The Incursus may be found both spearheading and bulwarking Gallente military operations. Its speed makes it excellent for skirmishing duties, while its resilience helps it outlast its opponents on the battlefield. Incursus-class ships move together in groups and can quickly and effectively gang up on ships many times their size and overwhelm them. In recent years the Incursus has increasingly found its way into the hands of pirates, who love its aggressive appearance. ",1028000,29500,165,1,8,None,77,None,61
597,25,Punisher,"The Punisher is considered by many to be one of the best Amarr frigates in existence. As evidenced by its heavy armaments, the Punisher is mainly intended for large-scale military operations, acting in coordination with larger military vessels. With its damage output, however, it is also perfectly capable of punching its way right through unwary opponents.",1190000,28600,135,1,4,None,72,None,300
598,25,Breacher,"The Breacher's structure is little more than a fragile scrapheap, but the ship's missile launcher hardpoints and superior sensors have placed it among the most valued Minmatar frigates when it comes to long range combat.",1087000,20000,175,1,2,None,64,None,305
599,25,Burst,"In YC114 each major empire faction, having been embroiled in a harrowing, extensive, long-term war, recognized the growing need for support and logistics functionality in their vessels during the kind of protracted interstellar warfare that might otherwise prove exhausting for its participants. In the Minmatar Republic, this led to the redesign and redeployment of the Burst.

The Burst had been a small and fast cargo vessel. This all changed after the redesign, when the Burst found its small-time mining capabilities curtailed in lieu of logistics systems that moved its focus to shield support for friendly vessels.",1420000,17100,260,1,2,None,64,None,306
602,25,Kestrel,"The Kestrel is a heavy missile boat with one of the most sophisticated sensor arrays around. Interestingly enough, it has been used by both the Caldari Navy and several wealthy trade corporations as a cargo-hauling vessel. It is one of few trading vessels with good punching power, making it ideal for solo trade-runs in dangerous areas. The Kestrel was designed so that it could take up to four missile launchers but as a result it can not be equipped with turret weapons nor with mining lasers.",1113000,19700,160,1,1,None,61,None,313
603,25,Merlin,"The Merlin is the most powerful combat frigate of the Caldari. Its role has evolved through the years, and while its defenses have always remained exceptionally strong for a Caldari vessel, its offensive capabilities have evolved from versatile, jack-of-all-trades attack patterns into focused and deadly gunfire tactics. The Merlin's primary aim is to have its turrets punch holes in opponents' hulls.",997000,16500,150,1,1,None,61,None,314
605,25,Heron,"The Heron has good computer and electronic systems, giving it the option of participating in electronic warfare. But it has relatively poor defenses and limited weaponry, so it's more commonly used for scouting and exploration.",1150000,18900,400,1,1,None,61,None,316
607,25,Imicus,"The Imicus is a slow but hard-shelled frigate, ideal for any type of scouting activity. Used by merchant, miner and combat groups, the Imicus is usually relied upon as the operation's eyes and ears when traversing low security sectors.",997000,21500,400,1,8,None,77,None,322
608,25,Atron,"The Atron is a hard nugget with an advanced power conduit system, but little space for cargo. Although it is a good harvester when it comes to mining, its main ability is as a combat vessel.",1050000,22500,145,1,8,None,77,None,323
609,25,Maulus,"The Maulus is a high-tech vessel, specialized for electronic warfare. It is particularly valued in fleet warfare due to its optimization for sensor dampening technology.",1063000,23000,275,1,8,None,77,None,324
2161,25,Crucifier,"The Crucifier was first designed as an explorer/scout, but the current version employs the electronic equipment originally intended for scientific studies for more offensive purposes. The Crucifier's electronic and computer systems take up a large portion of the internal space leaving limited room for cargo or traditional weaponry.  ",1064000,28100,265,1,4,None,72,None,1066
3532,25,Echelon,"A limited run of these ships was released to capsuleers at the end of YC 112, as a platform to utilize an influx of <url=showinfo:3581>Purloined Sansha Data Analyzers</url> that CONCORD had acquired. CONCORD's hope was that capsuleers could find a way to use the hardware against Sansha forces as they began mounting organized incursions into territories across the cluster.<br><br>The specialized nature of the hardware in Sansha Data Analyzer technology makes it incompatible with standard data buses, but this ship's unique hull design has an adaptive synchronization suite that allows it to interface with a wide range of non-standard hardware. CONCORD has remained silent on the origin of this design, but a number of amateur analysts maintain that ships of very similar configuration, carrying SCC and DED transponders, have been observed covertly on multiple prior occasions.",1124000,28100,135,1,4,None,1619,None,10782
3766,25,Vigil,"The Vigil is an unusual Minmatar ship, serving both as a long range scout as well as an electronic warfare platform. It is fast and agile, allowing it to keep the distance needed to avoid enemy fire while making use of jammers or other electronic gadgets.",1080000,17400,250,1,2,None,64,None,1240
11940,25,Gold Magnate,"This ship is a masterly designed frigate as well as an exquisite piece of art. The Magnate class has been the pet project of a small, elite group of royal ship engineers for over a decade. When the Gold Magnate was offered as a prize in the Amarr Championships in YC105,  the long years of expensive research were paid off with the deployment of this beautiful ship.
The first Gold Magnate was awarded to <url=showinfo:1373//170181132>Ecliptical</url> to honor his success as Doriam Kor-Azor's champion in YC105. That famous vessel was eventually sold to <url=showinfo:1373//144870255>Tyrrax Thorrk</url>  and met its demise at the hands of <url=showinfo:1373//144604580>Lord Zap</url>, <url=showinfo:1373//145355201>DrStrangelove</url>, <url=showinfo:1373//149050919>Motaka</url> and <url=showinfo:1373//152755230>Omniwar</url>, four of the legendary pirates of the m0o corporation.
The news that four more Gold Magnates were being produced for the new Amarr Succession Championship taking place in YC117 and YC118 has recently brought this storied ship back into the spotlight, and has electrified the hopes and dreams of wealthy collectors and elite capsuleers across the cluster.",1500000,22100,300,1,4,None,1619,None,2242
11942,25,Silver Magnate,"This decoratively designed ship is a luxury in its own class. The Magnate frigate has been the pet project of a small, elite group of royal ship engineers for a decade. Over the long years of expensive research, the design process has gone through several stages, and each stage has set a new standard in frigate design. The Silver Magnate, offered as a reward in the Amarr Championships in YC105 and YC118, is one of the most impressive iterations in this line of masterworks.
",1500000,22100,250,1,4,None,1619,None,2241
17619,25,Caldari Navy Hookbill,"Long struggling with a reputation for being the ugly duckling of the Caldari ship repertoire, the Hookbill recently got a new lease on life, being upgraded from a routine patrol vessel into a fleet-standard frigate. With the advancements brought on by the upgrade, the time is nigh for this little slugger to prove itself on battlefields throughout Caldari space and beyond.",1081000,16500,140,1,1,None,1366,None,2633
17703,25,Imperial Navy Slicer,"The Slicer is the Imperial Navy's pride and joy, and one of its biggest weapons in the continual fight against Matari insurgents.  Boasting tremendous range and versatility in equipment fittings, a great deal of armor strength and a powerful capacitor, the skilled Slicer pilot is able to take out most frigates with ease.",1003000,16500,130,1,4,None,1366,None,1067
17812,25,Republic Fleet Firetail,"The Firetail is modeled off a fighter frigate known as the Shamrock, a design used by a small, now-extinct pirate faction known as Lazari Dromitus.  The blueprint found its way into the hands of Matari military forces after a raid on Lazari Dromitus's headquarters succeeded in killing its leader, thus beheading the organization and scattering its remnants to the four winds.  It has since been improved upon and upgraded, and the Firetail is now a mainstay in most Republic Fleet patrols.",1098000,16500,135,1,2,None,1366,None,2635
17841,25,Federation Navy Comet,"The Comet's design comes from one Arnerore Rylerave, an engineer and researcher of the Roden Shipyards corporation.  Originally created as a standard-issue police patrol vessel, its tremendous maneuverability and great offensive capabilities catapulted it into the Navy's ranks, where it is now a widely-used skirmish vessel.",970000,16500,145,1,8,None,1366,None,2634
17924,25,Succubus,"The Succubus is one of the most feared frigates ever to harrow the spacelanes and asteroid belts of civilized space, and with good reason: tales abound of its superiority over ships twice or three times its size.  Whether you believe this to be fact or rumor, the Succubus will still strike fear in your heart.

",965000,28600,135,1,4,None,1365,None,1237
17926,25,Cruor,"Mottled, dark red, and shaped like a leech, the Cruor presents a fitting metaphor for the Blood Raiders' philosophy.  Designed almost solely to engage in their disturbingly effective tactic of energy draining and stasis webbing, this ship is a cornerstone in any effective Blood Raider fleet - and could play an intriguing role in more standard ones.",1003000,28600,135,1,4,None,1365,None,2632
17928,25,Daredevil,"Little hard data is to be had on the Daredevil's exact origin, but it is believed that Guardian Angel engineers created it to serve as a defensive complement to the Cartel's Dramiel frigate.  In both flair and utility it closely resembles its counterpart, but it eschews offensive capabilities in favor of greater defensive potential and stronger armor plating.  A tough nut to crack.
",823000,26500,140,1,8,None,1365,None,20301
17930,25,Worm,"Korako 'The Rabbit' Kosakami, Gurista leader, has a particular love for stealing the Caldari's ship designs, souping them up, and turning them on their creators.  With the Worm, he has taken the Merlin design so familiar to Caldari pilots and turned it into a defensive powerhouse capable of firing its volleys at terrifying speeds.

",981000,16500,130,1,1,None,1365,None,1831
17932,25,Dramiel,"The Dramiel is the most long-standing and often-used ship design in the Angel Cartel's vast repertoire of vessels.  A frigate workhorse if ever there was one, this sharp-tusked, dangerous beauty can sting unimaginably hard if one is not prepared for its assault.

",950000,27289,130,1,2,None,1365,None,338
29248,25,Magnate,"This Magnate-class frigate is one of the most decoratively designed ship classes in the Amarr Empire,  considered to be a pet project for a small, elite group of royal ship engineers for over a decade. The frigate's design has gone through several stages over the past decade, and new models of the Magnate appear every few years. The most recent versions of this ship ??the Silver Magnate and the Gold Magnate ??debuted as rewards in the Amarr Championships in YC105, though the original Magnate design is still a popular choice among Amarr pilots. ",1072000,22100,400,1,4,None,72,None,3367
620,26,Osprey,"In YC114 each major empire faction, having been embroiled in a harrowing, extensive, long-term war, recognized the growing need for support and logistics functionality in their vessels during the kind of protracted interstellar warfare that might otherwise prove exhausting for its participants. Both Frigate and Cruiser-class ships were put under the microscope, and in the Caldari State the outcome of the re-evaluation process led, among other developments, to a redesign and redeployment of the Osprey.

The Osprey originally offered excellent versatility and power for what was considered a comparably low price. After its redesign, its inbuilt mining technology - now a little creaky and long in the tooth - was gutted from the Osprey and replaced in its entirety with tech of a different type, capable of high energy and shield transfers.",11100000,107000,485,1,1,None,75,None,41
621,26,Caracal,"The Caracal is a powerful vessel that specializes in missile deployment. It has excellent shield defenses, but poor armor plating. Its missile arsenal, when fully stocked, is capable of making mincemeat of almost anyone.",11910000,92000,450,1,1,None,75,None,42
622,26,Stabber,"The Stabber is the mainstay of the Minmatar fleet. It is light and extremely fast, yet surprisingly powerful, with a wide variety of weapons. It is one of few Minmatar vessels that have reached popularity outside Minmatar space.",11400000,80000,420,1,2,None,73,None,47
623,26,Moa,"The Moa was designed as an all-out combat ship, and its heavy armament allows the Moa to tackle almost anything that floats in space. In contrast to its nemesis the Thorax, the Moa is most effective at long range where its railguns can rain death upon foes.",12000000,101000,450,1,1,None,75,None,49
624,26,Maller,"Quite possibly the toughest cruiser in the galaxy, the Maller is a common sight in Amarrian Imperial Navy operations. It is mainly used for military duty, although a few can be found in the private sector acting as escort ships for very important dispatches.",13150000,118000,480,1,4,None,74,None,57
625,26,Augoror,"In YC114 each major empire faction, having been embroiled in a harrowing, extensive, long-term war, recognized the growing need for support and logistics functionality in their vessels during the kind of protracted interstellar warfare that might otherwise prove exhausting for its participants. Both Frigate and Cruiser-class ships were put under the microscope, and in the Amarr Empire the outcome of the re-evaluation process led, among other developments, to a redesign and redeployment of the Augoror.

The Augoror-class cruiser is one of the old warhorses of the Amarr Empire, having seen action in both the Jovian War and the Minmatar Rebellion. Like most Amarr vessels, the Augoror depended first and foremost on its resilience and heavy armor to escape unscathed from unfriendly encounters. After its overhaul, it had some of the armor stripped off to make room for equipment allowing it to focus on the armor of other vessels, along with energy transfers.",12870000,115000,465,1,4,None,74,None,58
626,26,Vexor,"The Vexor is a strong combat ship that is also geared to operate in a variety of other roles. The Vexor is especially useful for surveying in potentially hostile sectors as it can stay on duty for a very long time before having to return to base. Furthermore, it is well capable of defending itself against even concentrated attacks.",11100000,115000,480,1,8,None,76,None,62
627,26,Thorax,"The Thorax-class cruiser is the latest combat ship commissioned by the Federation. While the Thorax is a very effective ship at any range, typical of modern Gallente design philosophy it is most effective when working at extreme close range where its blasters and hordes of combat drones tear through even the toughest of enemies.",11280000,112000,465,1,8,None,76,None,63
628,26,Arbitrator,"The Arbitrator is unusual for Amarr ships in that it's primarily a drone carrier. While it is not the best carrier around, it has superior armor that gives it greater durability than most ships in its class.",11200000,120000,345,1,4,None,74,None,298
629,26,Rupture,"The Rupture is slow for a Minmatar ship, but it more than makes up for it in power. The Rupture has superior firepower and is used by the Minmatar Republic both to defend space stations and other stationary objects and as part of massive attack formations.",12200000,96000,450,1,2,None,73,None,302
630,26,Bellicose,"Being a highly versatile class of Minmatar ships, the Bellicose has been used as a combat juggernaut as well as a support ship for wings of frigates. While not quite in the league of newer navy cruisers, the Bellicose is still a very solid ship for most purposes, especially in terms of long range combat.",11550000,85000,315,1,2,None,73,None,303
631,26,Scythe,"In YC114 each major empire faction, having been embroiled in a harrowing, extensive, long-term war, recognized the growing need for support and logistics functionality in their vessels during the kind of protracted interstellar warfare that might otherwise prove exhausting for its participants. Both Frigate and Cruiser-class ships were put under the microscope, and in the Minmatar Republic  the outcome of the re-evaluation process led, among other developments, to a redesign and redeployment of the Scythe.

The Scythe-class cruiser remains the oldest Minmatar ship still in use. It has seen many battles and is an integrated part in Minmatar tales and heritage. With its redesign, past firmware upgrades for mining output were tossed out entirely in favor of two new separate systems that focused on shield transporting and logistics drones respectively.",11110000,89000,475,1,2,None,73,None,304
632,26,Blackbird,"The Blackbird is a small high-tech cruiser newly employed by the Caldari Navy. Commonly seen in fleet battles or acting as wingman, it is not intended for head-on slugfests, but rather delicate tactical situations. ",13190000,96000,305,1,1,None,75,None,311
633,26,Celestis,"The Celestis cruiser is a versatile ship which can be employed in a myriad of roles, making it handy for small corporations with a limited number of ships. True to Gallente style the Celestis is especially deadly in close quarters combat due to its advanced targeting systems.",12070000,116000,320,1,8,None,76,None,319
634,26,Exequror,"In YC114 each major empire faction, having been embroiled in a harrowing, extensive, long-term war, recognized the growing need for support and logistics functionality in their vessels during the kind of protracted interstellar warfare that might otherwise prove exhausting for its participants. Both Frigate and Cruiser-class ships were put under the microscope, and in the Gallente Federation the outcome of the re-evaluation process led, among other developments, to a redesign and redeployment of the Exequoror.

The Exequror was a heavy cargo cruiser originally strong enough to defend itself against raiding frigates, though it lacked prowess in heavier combat situations. After its redesign, it had some of that bulk - and, necessarily, some of that strength - yanked out and replaced with the capability to help others in heavy combat situations, in particular those who needed armor repairs.",11020000,113000,495,1,8,None,76,None,320
635,26,Opux Luxury Yacht,"The Opux Luxury Yachts are normally used by the entertainment industry for pleasure tours for wealthy Gallente citizens. These Opux Luxury Yacht cruisers are rarely seen outside of Gallente controlled space, but are extremely popular within the Federation.",13075000,115000,1750,1,8,None,1699,None,330
